,mapping,epap,user,meaning
0,False,False,u,False
1,True,True,"Unpack subprocess F which contains an XOR with two branches (one branch with condition true contains task B, one branch with condition false contains task C) and a subsequent task D.","Remove subprocess F, replace it with an XOR gateway, two branches with conditions true and false leading to tasks B and C respectively, followed by a merging XOR gateway and task D.
"
2,True,True,turn the information of the subprocess F again back,"NA
"
3,True,False,"create task B, task D, and task C and remove subprocess F
after task A, task B or task C should follow - task B should follow if true, task C if false
task D should always be executed after either task B or C","Create task B, task C, and task D after task A.  Introduce an exclusive gateway after task A. Task B follows if the gateway condition is true, and task C follows if the condition is false.  Task D follows after both task B and task C. Remove subprocess F.
"
4,True,False,"In the new model, if task A is true, task B should be done, otherwise task C should be done. Afterwards task D should be done.","Introduce an exclusive gateway after Task A.  If the condition related to Task A is true, execute Task B; otherwise, execute Task C.  After either Task B or Task C is completed, execute Task D.
"
5,True,False,"Convert subprocess F into the following scheme: The first element is an if-else statement that takes an boolean input from task A. If true task B should follow, if false task C should follow. Afterwards another if-else-block should be placed to consolidate the two branches which then go to task D. ","NA
"
6,True,True,"New model should dissect subprocess F into tasks B,C, and D","Inline subprocess F into tasks B, C, and D.
"
7,True,False,"Replace subprocess F with the following structure: Starting with an opening or-gate two pathes occur. If the condition of the or-gate is true, task B is performed and if the conidition is false, task C is performed. After that both paths meet each other again in the closing or-gate. Furthermore insert task D immediately after the closing or-gate.","Replace subprocess F with an OR-gateway, followed by task B on one branch and task C on the other, then converging into a closing OR-gateway, and finally followed by task D.
"
8,True,True,Split subproces F into its parts,"Inline sub process F.
"
9,True,True,"Move the subprocess f into the main process so that this one includes task a, all the conditions of subprocess F and all the tasks of subprocess F","Inline subprocess F into the main process.
"
10,True,True,Display the subprocess F as it was before,"NA
"
11,True,True,"Instead of subprocess F notation, use the notation forming subprocess B step by step.","Replace subprocess F with subprocess B.
"
12,True,True,"deconstruct subprocess f into xor gate which executes task b if true and task c if false, connect both tasks to xor gate and connect task d to last xor gate","Inline subprocess ""f"" and replace it with an exclusive gateway.  If the gateway condition is true, execute task ""b""; otherwise, execute task ""c"". Connect the gateway outputs to tasks ""b"" and ""c"" respectively.  Finally, connect both ""b"" and ""c"" to a merging exclusive gateway, and connect that gateway to task ""d"".
"
13,True,False,"split subprocess F into two options true, where true path includes task B or false, incl task C. Add another task D following after the options, on the main path","Embed sub process F in a conditional branch based on a true/false condition. The true path contains task B, and the false path contains task C.  A new task D follows the conditional branch.
"
14,True,False,Please replace the subprocess F with a condition which executes task B in the true case and task B in the false case. After the end of the condition also add a task D before the termination node.,"Replace subprocess F with an exclusive gateway.  The true path from the gateway leads to task B, and the false path also leads to task B.  After the gateway, add task D, followed by the termination node.
"
15,True,True,subprocces decomposition ,"NA
"
16,True,True,unhide the subprocess F,"NA
"
17,True,False,"After 'task A' and before the 'end place', replace the transition  'subprocess F' with the following. An annotated 'OR split' should follow 'task B' if true OR 'task C' if false. Both of these, should be followed by an 'OR join', which is then followed by 'task D', and finally 'task D' is followed by the 'end place'.","Replace subprocess F with an OR split gateway followed by task B and task C on separate branches, then an OR join gateway, and finally task D.
"
18,True,False,"Replace subprocess F with a split for task B when true and task C when false, followed by task D","Replace subprocess F with a parallel split gateway; task B is executed if the gateway condition is true, and task C is executed if the gateway condition is false. Afterwards, task D is executed.
"
19,True,False,"Please remove the subprocess F and instead insert a xor with two branches. If it evaluates to false move to task C, if it evaluates to true move to task B. The xor is connected to task D","Replace subprocess F with an exclusive gateway.  On a false evaluation, transition to task C. On a true evaluation, transition to task B. Connect the gateway's output to task D.
"
20,True,False,"replace complex task subprocess F with embedded subprocess consisting of a sequence of an XOR block consisting of two branches where one branch (condition: true) contains task B and the other branch (condition: false) contains task C, followed by task D","Replace subprocess F with an embedded subprocess containing an XOR gateway with two branches. The first branch, taken if the condition is true, executes task B. The second branch, taken if the condition is false, executes task C.  After the XOR gateway, task D is executed.
"
21,True,False,"please remove subprocess F, then add an exclusive choice after task A, add task B if the condition is true; add task C to false condition. After the xor path, add task D before process end.","Remove subprocess F. Add an exclusive gateway after task A.  If the condition is true, add task B; otherwise, add task C. After the exclusive gateway, add task D.
"
22,True,False,Replace the subprocess with and XOR with task B for true and task C for false. After that go into an XOR again and finally task D,"Replace the subprocess with an exclusive decision gateway.  If the condition is true, execute task B; otherwise, execute task C.  After B or C completes, proceed to an exclusive decision gateway, and then to task D.
"
23,True,True,Removing the subprocess,"Inline the subprocess.
"
24,False,False,.,False
25,True,True,Refine subprocess F with its corresponding XOR fragment followed by task D. ,"NA
"
26,True,True,I want to expand subprocess F and have it directly modeled in my PM. Directly after task A I want to have a exclusive gateway. If true then task B. If false then task C. Close the gateway and execute task D.,"Inline subprocess F.  After task A, introduce an exclusive gateway.  If the gateway condition is true, execute task B; otherwise, execute task C.  After the gateway, execute task D.
"
27,True,False,replace the subprocess F with a new XOR condition with two branches. one branch is taken when the condition is true. then task B is executed. the other branch is taken when the condition is false. then task C is executed. after that the xor ends and task D follows.,"Replace the subprocess F with an exclusive gateway. If the condition is true, execute task B; otherwise, execute task C.  After the gateway, execute task D.
"
28,True,True,excpand subprocess F as a new process,"Inline subprocess F.
"
29,True,True,"Detail subprocess F to show the following: after task A, there is an OR-Split, the ""true"" path goes to task B, the ""false"" path goes to task C, both paths join in a closing OR-gateway, followed by task D which goes to END.","Subprocess F consists of task A followed by an OR-split. The ""true"" path from the split leads to task B, and the ""false"" path leads to task C.  Both paths converge at an OR-join, which then flows into task D. Finally, task D connects to the end event.
"
30,True,False,Please remove subprocess F and insert task B for true and task C for false after completing Task A and also insert Task D after completing task B or C,"Inline subprocess F; Create a conditional gateway after Task A;  Create a sequence flow from the gateway to Task B with condition ""true""; Create a sequence flow from the gateway to Task C with condition ""false""; Create a merge gateway that follows Task B and Task C; Create a sequence flow from the merge gateway to Task D.
"
31,True,True,Replace subprocess F with the respective content of the subprocess. ,"Inline subprocess F.
"
