,mapping,epap,user,meaning
0,False,False,f,False
1,True,False,Add a loop after the closing XOR gateway. The loop is exited if a condition is true and a further iteration is performed if a condition is false. Then include task D in the loop so that it can be executed between 0 and n times.,"The user intends to embed an existing process fragment, specifically task D, in a pre-conditional loop immediately after the closing XOR gateway. This loop will allow task D to be executed between 0 and n times, depending on whether a specified condition is met."
2,True,False,"Add an node, which directs only false values to task D and true to the end",NA.
3,True,False,task D should be in a loop where it is optional to be executed,Embed task D in a pre-conditional loop to allow for repeated execution between 0 and N times.
4,True,False,"In the new model, if task B or C is false, task D should be done. Afterwards task D will be checked, if task D is false, task D will be repeated again.",NA.
5,True,False,"Please add two if-else-blocks, one before task D and one after task D that form a loop which, when turned true exists and while false feeds back the input to task D. ",NA
6,True,False,Do task D only when condition is false,NA.
7,True,False,"Relocate task D and insert two or-gates, a opening one and a closing one. After the already existing closing or-gate I want you to insert the following structure: First, add the closing or-gate followed by the opening one. If the condition corresponding to the opening or-gate is true, continue with the end of the process. If the condition is false, I want task D to be performed and the process to 'jump' back to the freshly added closing or-gate. In the resulting process model, task D only occurs in this certain 'back-jump' loop. ",NA.
8,True,False,add a branched loop encapsuling task D when false and continue when true,NA.
9,True,False,"Add a loop for task D. check first if the status is true, if so nothing needs to be done if it is false, task D needs to be done and then check again for the status. ",AP8.2
10,True,False,implement a second gateway before task d which only does task d if the gateway decision is false.,NA.
11,True,False,"instead of task D, add an extra step where two more X's following each other. if the condition statement after the second X is true, then reach the output, if false, add task D and return to the first X after task D.",NA.
12,True,False,"add an xor gate before and after task d, only execute task d if the result of the gate after task d is false and return to the xor gate before task d",NA.
13,True,False,"change the process and add an additional gateway after task D with a loop, process is completed if some condition true otherwise  task D is performed and loop entered again",NA.
14,True,False,Please remove task D and add a loop directly after the end of the current one which leads to task D in the false case and to the termination node in the true case.,NA
15,True,True,a kind of loop is introduced,NA.
16,True,False,Not in every procedure Task D should be executed. And task D can also be executed several times,NA.
17,True,False,"After 'OR join', add a loop around 'task D', so that 'task D' can be executed more than once or zero times, using the 'OR' operator.  If condition in OR split is  'true' process should end, otherwise 'task D' should be executed.",NA.
18,True,False,Introduce a choice node before the final state which goes to final with true and to task D with false. Task D should only be accessible using the false path,"The user input is mapped to the change pattern AP19 (Replace Gateways) and AP1 (Insert Process Fragment). The actual meaning of the modification is:

""Introduce a decision gateway before the end event. The gateway should evaluate a condition and direct the flow to the end event if the condition is true. If the condition is false, the flow should be directed to a new task labeled 'Task D'."""
19,True,False,Please insert a xor gateway after task D. if the condition evaluates to false move to task D if it evaluates to true move to end. insert a closing xor after task d. the closing xor is connected to the opening xor,NA.
20,True,True,embed task D into loop ,NA.
21,True,False,"please put task D in a self loop after the previous exclusive choice where the minimum occurrence of task D is 0, if false, execute the loop otherwise it reaches the end of the process.",AP8.1
22,True,True,Add a loop in front of the sink target where task D is only executed if the condition is false. ,NA.
23,True,False,Adding an xor that executea task d when false,NA.
24,True,False,"add a loop surrounding task D using a gate. In the false branch of the gate, the task D should be triggered, else the process should stop",NA.
25,True,False,"If a condition is true, skip task D and execute task D, if the condition is false repeatedly until the condition is true. ",The actual meaning of the user input is: Embed task D in a post-conditional loop to allow for repeated execution between 1 and N times until the condition is true.
26,True,False,"Directly before task D, add an exclusive gateway. If the condition evaluates to false, task D should be executed, and the condition must be evaluated again afterward. If the condition evaluates to true, the process ends. Do not make any other changes.",NA.
27,True,False,wrap task D inside a do-while loop,"The actual meaning of the user input is: ""Embed the process fragment corresponding to task D in a post-conditional loop, allowing it to be repeated between 1 and N times."""
28,True,False,Create a Loop around task D. It should be possible to not execute task D at all,"AP8.1 Embed Process Fragment in Pre-Conditional Loop.
Task D is now embedded in a loop that allows for repeated execution between 0 and N times, meaning it may not be executed at all."
29,True,False,Add two additional OR-Gateways to create a conditional split before task D - the flow should be: OR-Gateway3 --> OR-Gateway4 (if true --> END; if false --> task D) --> OR-Gateway3.,NA
30,False,False,I don't know how to describe this,False
31,True,False,Insert to exclusive gateways before task D. The second inserted gateway should be connected to task B and the termination event. Task D should be connected to the first inserted gateway. ,NA.
32,True,False,"Replace task D with a conditional loop, where the false branch contains task D and the true branch ends the process. It must be possible for task D to not be executed.","The actual meaning of the user input is: Embed task D in a pre-conditional loop, where the loop can execute between 0 and N times. If the condition is not met (false branch), task D is executed. If the condition is met (true branch), the process ends."
33,True,False,Create a Loop before Task d which loops Task d If a condition ist Not met and repeats Task d until this condition ist met. ,"The user input specifies the creation of a loop that repeats Task d until a certain condition is met. This modification can be mapped to the change pattern AP8.2 (Embed Process Fragment in Post-Conditional Loop), as it involves embedding an existing process fragment (Task d) in a loop to allow for repeated execution between 1 and N times based on a condition.

The actual meaning of the modification, derived from BPMN semantics and the intent of the change pattern, is:

""Embed Task d in a post-conditional loop that repeats Task d until the specified condition is met."""
