gemini,,,,,,,,,,,,,,,,,,
,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP14,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP18
0,a,b,c,d,e,f,g,h,j,i,k,u,y,t,l,p,n,i
1,,forward false without any tasks,Please move task C behind the second XOR and if the first XOR is false we do now go directly into the second XOR,rename task b to task e,"rename Task A to task B and task A to task B, essentially changing the 2 tasks","In the new model, if task B or C is false, task D should be done. Afterwards task D will be checked, if task D is false, task D will be repeated again.",Task D has to be done correctly to complete the process,-,No idea,?,Please replace the current condition with a subprocess F.,Display the subprocess F as it was before,.,-,Not sure what the difference is,same as above vice versa ,.,Please replace the condition with task B.
2,,,remove task C such that after task A is suceded by task D when the condition is false. After the condition add a new task C.,Please rename task B to task E,"Swap the label between ""task A"" and ""task B"". Do not make any other changes.",a kind of loop is introduced,I don't know. ,Introduce task D as a parallel path directly after task A,.,.,.,.,I don't know. ,.,.,Not sure,I don't know. ,.
3,,,Remove task C from the false branch and add a new task C before task D.,please change the name of task B to task E,"at the start, add task B. replace task B inside the conditional branch with task A.",I don't know how to describe this,,And gate?,I don't know how to describe this process change,I don't know. ,"fuck the original process. create a new process with task A at the beginning, followed by subprocess F.",I don't know. ,,I don't know. ,I don't know. ,.,,"recreate a new process model with task A -> task B -> task D
"
4,,,,rename task B to task E,Replace the Name of Task A with Task B and Task B with Task A,I don't know. ,,Add a parallel Task D where the Split happens after Task a and ist joined before the end of the process,I don't know. ,-,"Please insert subprocess F after task A and remove task B, C and D",Subprocess F is clearly explained how it works. ,,Sorry I don't know,Process the task B and E one by one ,I don't know. ,,I don't know. 
5,,,,Rename task B to task E,rename task A to B and B to A,,,I don't know. ,,,After task A add subprocess F. Then end the process. Remove all other tasks.,reverse the process from the previous question ,,,,reverse the action from the previuos question,,-
6,,,,"Replace the label of ""task B"" with ""task E"". Do not make any other changes.",,,,"Add two new status after the task A and at the position of task D, move the original task C to the middle position of both new status ",,,"summarize tasks b,c and d and their paths in subprocess F ","Please remove subprocess F, and make a new exclusive gate after task A. If true, execute task B, if false, execute task C, and then execute task D which leads to completion",,,,,,"Create a new PM. That starts with task A, followed by task B, followed by task D, followed by an end event."
7,,,,Rename task B to task E,,,,,,,I don't know. ,Show subprocess F,,,,,,
8,,,,Change the name of task B to task E.,,,,,,,create a new process flow with task A followed by subporcess F and then the endpoint,"Delete subprocess F first, add a selection state after task A, add a new task B if it’s true , add a task C if it’s false, after B and C add a new state, after this state add a new task D",,,,,,
9,,,,Change the Name of Task B to Task E,,,,,,,Subprocess F follows task A. It seems to be black box. ,The output PM does not have subprocess. ,,,,,,
10,,,,"change the text ""task B"" to ""task E""",,,,,,,,,,,,,,
11,,,,"Change the name of ""task B"" to be ""task E"" ",,,,,,,,,,,,,,
12,,,,renametask B to E,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gpt,,,,,,,,,,,,,,,,,,
,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP14,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP18
0,a,b,c,d,e,f,g,h,j,i,k,u,y,t,l,p,n,i
1,,forward false without any tasks,,rename task b to task e,Replace the Name of Task A with Task B and Task B with Task A,a kind of loop is introduced,Task D has to be done correctly to complete the process,-,No idea,?,.,.,.,-,"In the new model, the system executes tasks B, E in sequence.",Not sure,.,delete everything and create a new process with task A then task B then task D
2,,,,Please rename task B to task E,,I don't know how to describe this,I don't know. ,And gate?,.,.,I don't know. ,I don't know. ,I don't know. ,.,Not sure what the difference is,.,I don't know. ,.
3,,,,please change the name of task B to task E,,I don't know. ,,I don't know. ,I don't know how to describe this process change,I don't know. ,,Subprocess F is clearly explained how it works. ,,I don't know. ,.,I don't know. ,,fuck the entire process. create a new process with task A followed by task B followed by task D
4,,,,rename task B to task E,,,,,"first, execute c, then b ",-,,,,Sorry I don't know,I don't know. ,reverse the action from the previuos question,,I don't know. 
5,,,,Rename task B to task E,,,,,I don't know. ,,,,,,,,,-
6,,,,"Replace the label of ""task B"" with ""task E"". Do not make any other changes.",,,,,,,,,,,,,,"Create a new PM. That starts with task A, followed by task B, followed by task D, followed by an end event."
7,,,,Rename task B to task E,,,,,,,,,,,,,,
8,,,,Change the name of task B to task E.,,,,,,,,,,,,,,
9,,,,Change the Name of Task B to Task E,,,,,,,,,,,,,,
10,,,,"change the text ""task B"" to ""task E""",,,,,,,,,,,,,,
11,,,,"Change the name of ""task B"" to be ""task E"" ",,,,,,,,,,,,,,
12,,,,renametask B to E,,,,,,,,,,,,,,
13,,,,Change the signature of task B to task E,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
mistral,,,,,,,,,,,,,,,,,,
,AP1,AP2,AP3,AP4,AP5,AP8.1,AP8.2,AP9,AP10,AP14,AP6,AP7,AP13,AP19,AP15,AP16,AP17,AP18
0,a,b,c,d,e,f,g,h,j,i,k,u,y,t,l,p,n,i
