,Unnamed: 0,mapping,epap,user,meaning,meaning_status,similarity
0,0,False,False,f,False,False,0.0
1,1,True,False,Add a loop after the closing XOR gateway. The loop is exited if a condition is true and a further iteration is performed if a condition is false. Then include task D in the loop so that it can be executed between 0 and n times.,"The user intends to embed an existing process fragment, specifically task D, in a pre-conditional loop immediately after the closing XOR gateway. This loop will allow task D to be executed between 0 and n times, depending on whether a specified condition is met.",True,0.9618347338935573
2,2,True,False,"Add an node, which directs only false values to task D and true to the end",NA.,True,0.9017338066574061
3,3,True,False,task D should be in a loop where it is optional to be executed,Embed task D in a pre-conditional loop to allow for repeated execution between 0 and N times.,True,0.9618347338935573
4,4,True,False,"In the new model, if task B or C is false, task D should be done. Afterwards task D will be checked, if task D is false, task D will be repeated again.",NA.,True,0.9017338066574061
5,5,True,False,"Please add two if-else-blocks, one before task D and one after task D that form a loop which, when turned true exists and while false feeds back the input to task D. ",,False,0.0
6,6,True,False,Do task D only when condition is false,NA.,True,0.9017338066574061
7,7,True,False,"Relocate task D and insert two or-gates, a opening one and a closing one. After the already existing closing or-gate I want you to insert the following structure: First, add the closing or-gate followed by the opening one. If the condition corresponding to the opening or-gate is true, continue with the end of the process. If the condition is false, I want task D to be performed and the process to 'jump' back to the freshly added closing or-gate. In the resulting process model, task D only occurs in this certain 'back-jump' loop. ",NA.,True,0.9017338066574061
8,8,True,False,add a branched loop encapsuling task D when false and continue when true,NA.,True,0.9017338066574061
9,9,True,False,"Add a loop for task D. check first if the status is true, if so nothing needs to be done if it is false, task D needs to be done and then check again for the status. ",AP8.2,True,0.0
10,10,True,False,implement a second gateway before task d which only does task d if the gateway decision is false.,NA.,True,0.9017338066574061
11,11,True,False,"instead of task D, add an extra step where two more X's following each other. if the condition statement after the second X is true, then reach the output, if false, add task D and return to the first X after task D.",NA.,True,0.9017338066574061
12,12,True,False,"add an xor gate before and after task d, only execute task d if the result of the gate after task d is false and return to the xor gate before task d",NA.,True,0.9017338066574061
13,13,True,False,"change the process and add an additional gateway after task D with a loop, process is completed if some condition true otherwise  task D is performed and loop entered again",NA.,True,0.9017338066574061
