,gemini,gpt,mistral,,gemini,gpt,mistral,,average
AP18.csv,,,,,,,,,
False,13,5,9,,0.20,0.08,0.14,,0.14
"True,False",0,12,17,,0.00,0.19,0.27,,0.15
"True,True,False,False",23,20,32,,0.36,0.31,0.50,,0.39
"True,True,False,True",17,15,3,,0.27,0.23,0.05,,0.18
"True,True,True,False",10,7,3,,0.16,0.11,0.05,,0.10
"True,True,True,True",1,5,0,,0.02,0.08,0.00,,0.03
,,,,,,,,,
AP10.csv,,,,,,,,,
False,9,5,5,,0.14,0.08,0.08,,0.10
"True,False",0,7,15,,0.00,0.11,0.23,,0.11
"True,True,False,False",12,8,8,,0.19,0.13,0.13,,0.15
"True,True,True,False",41,42,36,,0.64,0.66,0.56,,0.62
"True,True,True,True",2,2,0,,0.03,0.03,0.00,,0.02
,,,,,,,,,
AP17.csv,,,,,,,,,
False,3,3,3,,0.05,0.05,0.05,,0.05
"True,False",0,12,29,,0.00,0.19,0.45,,0.21
"True,True,False,False",12,5,9,,0.19,0.08,0.14,,0.14
"True,True,False,True",4,3,1,,0.06,0.05,0.02,,0.04
"True,True,True,False",8,2,20,,0.13,0.03,0.31,,0.16
"True,True,True,True",37,39,2,,0.58,0.61,0.03,,0.41
,,,,,,,,,
AP5.csv,,,,,,,,,
False,6,2,3,,0.09,0.03,0.05,,0.06
"True,False",0,3,26,,0.00,0.05,0.41,,0.15
"True,True,False,False",2,2,1,,0.03,0.03,0.02,,0.03
"True,True,False,True",2,1,5,,0.03,0.02,0.08,,0.04
"True,True,True,False",0,2,9,,0.00,0.03,0.14,,0.06
"True,True,True,True",54,54,20,,0.84,0.84,0.31,,0.67
,,,,,,,,,
AP7.csv,,,,,,,,,
False,7,3,9,,0.11,0.05,0.14,,0.10
"True,False",0,13,12,,0.00,0.20,0.19,,0.13
"True,True,False,False",15,21,28,,0.23,0.33,0.44,,0.33
"True,True,False,True",14,13,2,,0.22,0.20,0.03,,0.15
"True,True,True,False",23,12,13,,0.36,0.19,0.20,,0.25
"True,True,True,True",5,2,0,,0.08,0.03,0.00,,0.04
,,,,,,,,,
AP2.csv,,,,,,,,,
False,2,1,1,,0.03,0.02,0.02,,0.02
"True,False",0,10,27,,0.00,0.16,0.42,,0.19
"True,True,False,False",20,6,14,,0.31,0.09,0.22,,0.21
"True,True,False,True",15,18,3,,0.23,0.28,0.05,,0.19
"True,True,True,False",25,0,17,,0.39,0.00,0.27,,0.22
"True,True,True,True",2,29,2,,0.03,0.45,0.03,,0.17
,,,,,,,,,
AP14.csv,,,,,,,,,
False,11,5,5,,0.17,0.08,0.08,,0.11
"True,False",0,1,7,,0.00,0.02,0.11,,0.04
"True,True,False,False",6,4,8,,0.09,0.06,0.13,,0.09
"True,True,False,True",39,49,37,,0.61,0.77,0.58,,0.65
"True,True,True,False",1,0,5,,0.02,0.00,0.08,,0.03
"True,True,True,True",7,5,2,,0.11,0.08,0.03,,0.07
,,,,,,,,,
AP6.csv,,,,,,,,,
False,10,4,7,,0.16,0.06,0.11,,0.11
"True,False",0,10,17,,0.00,0.16,0.27,,0.14
"True,True,False,False",10,7,9,,0.16,0.11,0.14,,0.14
"True,True,False,True",10,13,0,,0.16,0.20,0.00,,0.12
"True,True,True,False",28,23,30,,0.44,0.36,0.47,,0.42
"True,True,True,True",6,7,1,,0.09,0.11,0.02,,0.07
,,,,,,,,,
AP15.csv,,,,,,,,,
False,13,4,7,,0.20,0.06,0.11,,0.13
"True,False",0,4,12,,0.00,0.06,0.19,,0.08
"True,True,False,False",7,1,7,,0.11,0.02,0.11,,0.08
"True,True,False,True",4,10,3,,0.06,0.16,0.05,,0.09
"True,True,True,False",15,11,25,,0.23,0.17,0.39,,0.27
"True,True,True,True",25,34,10,,0.39,0.53,0.16,,0.36
,,,,,,,,,
AP16.csv,,,,,,,,,
False,8,5,13,,0.13,0.08,0.20,,0.14
"True,False",0,10,17,,0.00,0.16,0.27,,0.14
"True,True,False,False",6,6,13,,0.09,0.09,0.20,,0.13
"True,True,False,True",7,2,1,,0.11,0.03,0.02,,0.05
"True,True,True,False",4,3,16,,0.06,0.05,0.25,,0.12
"True,True,True,True",39,38,4,,0.61,0.59,0.06,,0.42
,,,,,,,,,
AP3.csv,,,,,,,,,
False,1,1,9,,0.02,0.02,0.14,,0.06
"True,False",0,5,12,,0.00,0.08,0.19,,0.09
"True,True,False,False",13,11,8,,0.20,0.17,0.13,,0.17
"True,True,False,True",5,3,0,,0.08,0.05,0.00,,0.04
"True,True,True,False",40,15,32,,0.63,0.23,0.50,,0.45
"True,True,True,True",5,29,3,,0.08,0.45,0.05,,0.19
,,,,,,,,,
AP8.1.csv,,,,,,,,,
False,4,4,4,,0.06,0.06,0.06,,0.06
"True,False",0,2,7,,0.00,0.03,0.11,,0.05
"True,True,False,False",47,39,48,,0.73,0.61,0.75,,0.70
"True,True,False,True",1,4,1,,0.02,0.06,0.02,,0.03
"True,True,True,False",12,13,4,,0.19,0.20,0.06,,0.15
"True,True,True,True",0,2,0,,0.00,0.03,0.00,,0.01
,,,,,,,,,
AP8.2.csv,,,,,,,,,
False,6,3,4,,0.09,0.05,0.06,,0.07
"True,False",0,3,11,,0.00,0.05,0.17,,0.07
"True,True,False,False",23,22,20,,0.36,0.34,0.31,,0.34
"True,True,False,True",1,3,0,,0.02,0.05,0.00,,0.02
"True,True,True,False",33,26,29,,0.52,0.41,0.45,,0.46
"True,True,True,True",1,7,0,,0.02,0.11,0.00,,0.04
,,,,,,,,,
AP9.csv,,,,,,,,,
False,8,3,8,,0.13,0.05,0.13,,0.10
"True,False",0,17,11,,0.00,0.27,0.17,,0.15
"True,True,False,False",26,14,22,,0.41,0.22,0.34,,0.32
"True,True,False,True",6,2,1,,0.09,0.03,0.02,,0.05
"True,True,True,False",16,24,19,,0.25,0.38,0.30,,0.31
"True,True,True,True",8,4,3,,0.13,0.06,0.05,,0.08
,,,,,,,,,
AP19.csv,,,,,,,,,
False,6,6,6,,0.09,0.09,0.09,,0.09
"True,False",0,5,4,,0.00,0.08,0.06,,0.05
"True,True,False,False",5,4,13,,0.08,0.06,0.20,,0.11
"True,True,False,True",12,8,7,,0.19,0.13,0.11,,0.14
"True,True,True,False",7,5,14,,0.11,0.08,0.22,,0.14
"True,True,True,True",34,36,20,,0.53,0.56,0.31,,0.47
,,,,,,,,,
AP13.csv,,,,,,,,,
False,3,3,3,,0.05,0.05,0.05,,0.05
"True,False",0,2,14,,0.00,0.03,0.22,,0.08
"True,True,False,False",0,1,1,,0.00,0.02,0.02,,0.01
"True,True,False,True",3,3,3,,0.05,0.05,0.05,,0.05
"True,True,True,False",0,0,23,,0.00,0.00,0.36,,0.12
"True,True,True,True",58,55,20,,0.91,0.86,0.31,,0.69
,,,,,,,,,
AP1.csv,,,,,,,,,
False,3,1,1,,0.05,0.02,0.02,,0.03
"True,False",0,4,9,,0.00,0.06,0.14,,0.07
"True,True,False,False",4,5,4,,0.06,0.08,0.06,,0.07
"True,True,False,True",6,12,5,,0.09,0.19,0.08,,0.12
