,1,count
0,AP18.csv,1
1,False,27
2,True,37
3,,
4,AP10.csv,1
5,False,47
6,True,17
7,,
8,AP17.csv,1
9,False,16
10,True,48
11,,
12,AP5.csv,1
13,False,5
14,True,59
15,,
16,AP7.csv,1
17,False,38
18,True,26
19,,
20,AP2.csv,1
21,False,26
22,True,38
23,,
24,AP14.csv,1
25,False,21
26,True,43
27,,
28,AP6.csv,1
29,False,28
30,True,36
31,,
32,AP15.csv,1
33,False,5
34,True,59
35,,
36,AP16.csv,1
37,False,33
38,True,31
39,,
40,AP3.csv,1
41,False,21
42,True,43
43,,
44,AP8.1.csv,1
45,False,50
46,True,14
47,,
48,AP8.2.csv,1
49,False,46
50,True,18
51,,
52,AP9.csv,1
53,False,29
54,True,35
55,,
56,AP19.csv,1
57,False,12
58,True,52
59,,
60,AP13.csv,1
61,True,64
62,,
63,AP1.csv,1
64,False,10
65,True,54
66,,
67,AP4.csv,1
68,False,3
69,True,61
70,,
