,1,count
0,AP18.csv,1
1,False,7
2,"True,False",3
3,"True,True,False,False",10
4,"True,True,False,True",32
5,"True,True,True,False",1
6,"True,True,True,True",11
7,,
8,AP10.csv,1
9,False,5
10,"True,False",1
11,"True,True,False,False",6
12,"True,True,False,True",4
13,"True,True,True,False",31
14,"True,True,True,True",17
15,,
16,AP17.csv,1
17,False,3
18,"True,False",8
19,"True,True,False,False",7
20,"True,True,False,True",6
21,"True,True,True,False",8
22,"True,True,True,True",32
23,,
24,AP5.csv,1
25,False,6
26,"True,True,False,False",3
27,"True,True,False,True",3
28,"True,True,True,False",6
29,"True,True,True,True",46
30,,
31,AP7.csv,1
32,False,10
33,"True,False",3
34,"True,True,False,False",15
35,"True,True,False,True",21
36,"True,True,True,False",12
37,"True,True,True,True",3
38,,
39,AP2.csv,1
40,False,2
41,"True,True,False,False",11
42,"True,True,False,True",8
43,"True,True,True,False",18
44,"True,True,True,True",25
45,,
46,AP14.csv,1
47,False,5
48,"True,False",9
49,"True,True,False,False",14
50,"True,True,False,True",28
51,"True,True,True,False",5
52,"True,True,True,True",3
53,,
54,AP6.csv,1
55,False,10
56,"True,False",2
57,"True,True,False,False",9
58,"True,True,False,True",15
59,"True,True,True,False",16
60,"True,True,True,True",12
61,,
62,AP15.csv,1
63,False,5
64,"True,True,False,False",1
65,"True,True,False,True",9
66,"True,True,True,False",4
67,"True,True,True,True",45
68,,
69,AP16.csv,1
70,False,6
71,"True,False",2
72,"True,True,False,False",8
73,"True,True,False,True",2
74,"True,True,True,False",21
75,"True,True,True,True",25
76,,
77,AP3.csv,1
78,False,4
79,"True,False",3
80,"True,True,False,False",7
81,"True,True,False,True",6
82,"True,True,True,False",13
83,"True,True,True,True",31
84,,
85,AP8.1.csv,1
86,False,5
87,"True,False",3
88,"True,True,False,False",21
89,"True,True,False,True",12
90,"True,True,True,False",17
91,"True,True,True,True",6
92,,
93,AP8.2.csv,1
94,False,3
95,"True,False",3
96,"True,True,False,False",10
97,"True,True,False,True",5
98,"True,True,True,False",35
99,"True,True,True,True",8
100,,
101,AP9.csv,1
102,False,7
103,"True,False",5
104,"True,True,False,False",12
105,"True,True,False,True",7
106,"True,True,True,False",8
107,"True,True,True,True",25
108,,
109,AP19.csv,1
110,False,5
111,"True,False",4
112,"True,True,False,False",2
113,"True,True,False,True",7
114,"True,True,True,False",5
115,"True,True,True,True",41
116,,
117,AP13.csv,1
118,False,3
119,"True,False",2
120,"True,True,False,True",3
121,"True,True,True,False",1
122,"True,True,True,True",55
123,,
124,AP1.csv,1
125,False,1
126,"True,True,False,False",2
127,"True,True,False,True",8
128,"True,True,True,False",4
129,"True,True,True,True",49
130,,
131,AP4.csv,1
132,False,13
133,"True,True,False,False",2
134,"True,True,False,True",2
135,"True,True,True,False",3
136,"True,True,True,True",44
137,,
