,1,count
0,AP18.csv,1
1,False,36
2,True,28
3,,
4,AP10.csv,1
5,False,62
6,True,2
7,,
8,AP17.csv,1
9,False,13
10,True,51
11,,
12,AP5.csv,1
13,False,5
14,True,59
15,,
16,AP7.csv,1
17,False,41
18,True,23
19,,
20,AP2.csv,1
21,False,9
22,True,55
23,,
24,AP14.csv,1
25,False,23
26,True,41
27,,
28,AP6.csv,1
29,False,27
30,True,37
31,,
32,AP15.csv,1
33,False,8
34,True,56
35,,
36,AP16.csv,1
37,False,34
38,True,30
39,,
40,AP3.csv,1
41,False,35
42,True,29
43,,
44,AP8.1.csv,1
45,False,59
46,True,5
47,,
48,AP8.2.csv,1
49,False,55
50,True,9
51,,
52,AP9.csv,1
53,False,53
54,True,11
55,,
56,AP19.csv,1
57,False,11
58,True,53
59,,
60,AP13.csv,1
61,True,64
62,,
63,AP1.csv,1
64,False,6
65,True,58
66,,
67,AP4.csv,1
68,False,4
69,True,60
70,,
