,1,count
0,AP18.csv,1
1,False,7
2,"True,False",1
3,"True,True,False,False",21
4,"True,True,False,True",23
5,"True,True,True,False",5
6,"True,True,True,True",7
7,,
8,AP10.csv,1
9,False,6
10,"True,True,False,False",6
11,"True,True,True,False",50
12,"True,True,True,True",2
13,,
14,AP17.csv,1
15,False,3
16,"True,True,False,False",10
17,"True,True,False,True",3
18,"True,True,True,False",1
19,"True,True,True,True",47
20,,
21,AP5.csv,1
22,False,2
23,"True,True,False,False",2
24,"True,True,False,True",3
25,"True,True,True,False",1
26,"True,True,True,True",56
27,,
28,AP7.csv,1
29,False,4
30,"True,False",1
31,"True,True,False,False",17
32,"True,True,False,True",17
33,"True,True,True,False",20
34,"True,True,True,True",5
35,,
36,AP2.csv,1
37,False,2
38,"True,True,False,False",5
39,"True,True,False,True",18
40,"True,True,True,False",3
41,"True,True,True,True",36
42,,
43,AP14.csv,1
44,False,5
45,"True,False",1
46,"True,True,False,False",12
47,"True,True,False,True",38
48,"True,True,True,False",7
49,"True,True,True,True",1
50,,
51,AP6.csv,1
52,False,3
53,"True,True,False,False",8
54,"True,True,False,True",17
55,"True,True,True,False",23
56,"True,True,True,True",13
57,,
58,AP15.csv,1
59,False,5
60,"True,True,False,False",2
61,"True,True,False,True",9
62,"True,True,True,False",6
63,"True,True,True,True",42
64,,
65,AP16.csv,1
66,False,5
67,"True,True,False,False",12
68,"True,True,False,True",3
69,"True,True,True,False",19
70,"True,True,True,True",25
71,,
72,AP3.csv,1
73,False,1
74,"True,True,False,False",14
75,"True,True,False,True",4
76,"True,True,True,False",28
77,"True,True,True,True",17
78,,
79,AP8.1.csv,1
80,False,4
81,"True,True,False,False",38
82,"True,True,False,True",1
83,"True,True,True,False",18
84,"True,True,True,True",3
85,,
86,AP8.2.csv,1
87,False,3
88,"True,False",1
89,"True,True,False,False",25
90,"True,True,False,True",1
91,"True,True,True,False",33
92,"True,True,True,True",1
93,,
94,AP9.csv,1
95,False,4
96,"True,True,False,False",26
97,"True,True,False,True",2
98,"True,True,True,False",24
99,"True,True,True,True",8
100,,
101,AP19.csv,1
102,False,5
103,"True,False",2
104,"True,True,False,False",7
105,"True,True,False,True",8
106,"True,True,True,False",1
107,"True,True,True,True",41
108,,
109,AP13.csv,1
110,False,3
111,"True,True,False,True",3
112,"True,True,True,True",58
113,,
114,AP1.csv,1
115,False,1
116,"True,True,False,False",7
117,"True,True,False,True",5
118,"True,True,True,False",2
119,"True,True,True,True",49
120,,
121,AP4.csv,1
122,False,14
123,"True,False",1
124,"True,True,False,False",1
125,"True,True,False,True",5
126,"True,True,True,False",3
127,"True,True,True,True",40
128,,
