,1,count
0,AP18.csv,1
1,False,32
2,True,32
3,,
4,AP10.csv,1
5,False,56
6,True,8
7,,
8,AP17.csv,1
9,False,10
10,True,54
11,,
12,AP5.csv,1
13,False,5
14,True,59
15,,
16,AP7.csv,1
17,False,47
18,True,17
19,,
20,AP2.csv,1
21,False,26
22,True,38
23,,
24,AP14.csv,1
25,False,30
26,True,34
27,,
28,AP6.csv,1
29,False,44
30,True,20
31,,
32,AP15.csv,1
33,False,5
34,True,59
35,,
36,AP16.csv,1
37,False,29
38,True,35
39,,
40,AP3.csv,1
41,False,36
42,True,28
43,,
44,AP8.1.csv,1
45,False,59
46,True,5
47,,
48,AP8.2.csv,1
49,False,59
50,True,5
51,,
52,AP9.csv,1
53,False,56
54,True,8
55,,
56,AP19.csv,1
57,False,15
58,True,49
59,,
60,AP13.csv,1
61,False,2
62,True,62
63,,
64,AP1.csv,1
65,False,5
66,True,59
67,,
68,AP4.csv,1
69,False,4
70,True,60
71,,
