,1,count
0,AP18.csv,1
1, ,1
2,False,9
3,"True,True,False,False",32
4,"True,False",17
5,"True,True,False,True",3
6,"True,True,True,False",3
7,AP10.csv,1
8, ,1
9,False,5
10,"True,True,True,False",36
11,"True,False",15
12,"True,True,False,False",8
13,AP17.csv,1
14, ,1
15,False,3
16,"True,False",29
17,"True,True,False,False",9
18,"True,True,True,False",20
19,"True,True,True,True",2
20,"True,True,False,True",1
21,AP5.csv,1
22, ,1
23,False,3
24,"True,True,True,True",20
25,"True,True,True,False",9
26,"True,False",26
27,"True,True,False,True",5
28,"True,True,False,False",1
29,AP7.csv,1
30, ,1
31,False,9
32,"True,True,True,False",13
33,"True,True,False,False",28
34,"True,False",12
35,"True,True,False,True",2
36,AP2.csv,1
37, ,1
38,False,1
39,"True,True,True,False",17
40,"True,True,False,False",14
41,"True,True,True,True",2
42,"True,False",27
43,"True,True,False,True",3
44,AP14.csv,1
45, ,1
46,False,5
47,"True,False",7
48,"True,True,False,True",37
49,"True,True,False,False",8
50,"True,True,True,False",5
51,"True,True,True,True",2
52,AP6.csv,1
53, ,1
54,False,7
55,"True,True,True,False",30
56,"True,False",17
57,"True,True,False,False",9
58,"True,True,True,True",1
59,AP15.csv,1
60, ,1
61,False,7
62,"True,True,True,True",10
63,"True,False",12
64,"True,True,True,False",25
65,"True,True,False,False",7
66,"True,True,False,True",3
67,AP16.csv,1
68, ,1
69,False,13
70,"True,True,True,True",4
71,"True,True,False,False",13
72,"True,True,True,False",16
73,"True,True,False,True",1
74,"True,False",17
75,AP3.csv,1
76, ,1
77,False,9
78,"True,True,True,True",3
79,"True,True,True,False",32
80,"True,True,False,False",8
81,"True,False",12
82,AP8.1.csv,1
83, ,1
84,False,4
85,"True,True,False,False",48
86,"True,False",7
87,"True,True,True,False",4
88,"True,True,False,True",1
89,AP8.2.csv,1
90, ,1
91,False,4
92,"True,True,True,False",29
93,"True,True,False,False",20
94,"True,False",11
95,AP9.csv,1
96, ,1
97,False,8
98,"True,True,True,False",19
99,"True,True,False,False",22
100,"True,False",11
101,"True,True,True,True",3
102,"True,True,False,True",1
103,AP19.csv,1
104, ,1
105,False,6
106,"True,False",4
107,"True,True,False,False",13
108,"True,True,True,True",20
109,"True,True,True,False",14
110,"True,True,False,True",7
111,AP13.csv,1
112, ,1
113,False,3
114,"True,True,True,True",20
115,"True,True,True,False",23
116,"True,True,False,False",1
117,"True,False",14
118,"True,True,False,True",3
119,AP1.csv,1
120, ,1
121,False,1
122,"True,True,False,False",4
123,"True,True,True,False",12
124,"True,False",9
125,"True,True,True,True",33
126,"True,True,False,True",5
127,AP4.csv,1
128, ,1
129,False,9
130,"True,False",23
131,"True,True,True,True",31
132,"True,True,False,True",1
