FALSE,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,not clear,FALSE,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0.05,0.03,0.02,0.25,0.09,0.16,0.11,0.06,0.09,0.13,0.14,0.05,0.17,0.2,0.13,0.05,0.2,0.09,,,,,,,,,,,,,,,,,,,,,
gpt,0.02,0.02,0.02,0.19,0.03,0.06,0.05,0.06,0.05,0.05,0.08,0.05,0.08,0.06,0.08,0.05,0.08,0.09,,,,,,,,,,,,,,,,,,,,,
mistral,0.02,0.02,0.14,0.14,0.05,0.11,0.14,0.06,0.06,0.13,0.08,0.05,0.08,0.11,0.2,0.05,0.14,0.09,,,,,,,,,,,,,,,,,,,,,
average,0.03,0.02,0.06,0.19,0.06,0.11,0.1,0.06,0.07,0.1,0.1,0.05,0.11,0.13,0.14,0.05,0.14,0.09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True,FALSE",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,user,"True,FALSE",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
gpt,0.06,0.16,0.08,0.05,0.05,0.16,0.2,0.03,0.05,0.27,0.11,0.03,0.02,0.06,0.16,0.19,0.19,0.08,,,,,,,,,,,,,,,,,,,,,
mistral,0.14,0.42,0.19,0.36,0.41,0.27,0.19,0.11,0.17,0.17,0.23,0.22,0.11,0.19,0.27,0.45,0.27,0.06,,,,,,,,,,,,,,,,,,,,,
average,0.07,0.19,0.09,0.14,0.15,0.14,0.13,0.05,0.07,0.15,0.11,0.08,0.04,0.08,0.14,0.21,0.15,0.05,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
